service_name|service_ip|service_open_port|service_selector|pod_name|pod_ip|ec2-internal-ip|pod_ports_for_service
serving-scheduler-messaging-client-service|10.3.80.2|4678/TCP|app=serving-scheduler|serving-scheduler-8b5d548c-wwz2v|10.2.236.27|ip-10.20.9.44.ec2.internal|10.2.236.27:4678
serving-scheduler-service|10.3.77.83|5678/TCP|app=serving-scheduler|serving-scheduler-8b5d548c-wwz2v|10.2.236.27|ip-10.20.9.44.ec2.internal|10.2.236.27:5678
settings-policy-service|10.3.103.249|443/TCP|app=settings-policy|settings-policy-69d99d586f-9v924|10.2.211.128|ip-10.20.11.81.ec2.internal|10.2.211.128:31519
softclient-service|10.3.220.24|24577/TCP|app=softclient|softclient-74bcfcd4f8-kw2n9|10.2.12.187|ip-10.20.11.183.ec2.internal|10.2.12.187:24577
softstore-storelet|10.3.192.23|24576/TCP,24510/TCP|app=softstore-storelet|softstore-storelet-0|10.2.152.178|ip-10.20.10.162.ec2.internal|10.2.152.178:24510,10.2.152.178:24576
spark-connect-router-service|10.3.195.139|7101/TCP|app=spark-connect-router|spark-connect-router-8f7486d9c-4vqrr|10.2.236.28|ip-10.20.9.44.ec2.internal|10.2.236.28:7101
sql-cloud-results-gc-service|10.3.193.241|25447/TCP|app=sql-cloud-results-gc|sql-cloud-results-gc-546d9d7c49-82tmk|10.2.98.216|ip-10.20.11.193.ec2.internal|10.2.98.216:25447
sql-exec-api-service|10.3.146.207|6677/TCP|app=sql-exec-api|sql-exec-api-66889b5694-746nm|10.2.211.127|ip-10.20.11.81.ec2.internal|10.2.211.127:6677
sqlacl-sisyphus-service|10.3.130.133|7075/TCP|app=sqlacl-sisyphus|sqlacl-sisyphus-c4fb4d997-cpmxz|10.2.62.0|ip-10.20.11.150.ec2.internal|10.2.62.0:7075
sqlgateway-history-db-admin-service|10.3.24.0|37778/TCP|app=sqlgateway-history-db-admin|sqlgateway-history-db-admin-5c6cdbf4b7-665qf|10.2.98.213|ip-10.20.11.193.ec2.internal|10.2.98.213:37778
sqlgateway-history-service|10.3.56.122|37777/TCP|app=sqlgateway-history|sqlgateway-history-67d585ff87-gk7d7|10.2.12.188|ip-10.20.11.183.ec2.internal|10.2.12.188:37777
sqlgateway-proxy-service|10.3.54.66|7000/TCP,6688/TCP|app=sqlgateway-proxy|sqlgateway-proxy-6d746ff9c9-9l6nq|10.2.98.205|ip-10.20.11.193.ec2.internal|10.2.98.205:7000,10.2.98.205:6688
sqlgateway-scheduler|None|7100/TCP|app=sqlgateway-scheduler|sqlgateway-scheduler-0|10.2.98.202|ip-10.20.11.193.ec2.internal|10.2.98.202:7100
svc-cons-fe|10.3.245.60|443/TCP,8443/TCP|app=apiproxy|apiproxy-68d6bc64fc-88tpk|10.2.211.115|ip-10.20.11.81.ec2.internal|10.2.211.115:443,10.2.211.115:8443
svc-cons-mix|10.3.121.227|443/TCP,34562/TCP|frontendRoutable=true,project=webapp,shardGroup=cons|cons-webapp-0|10.2.64.46|ip-10.20.8.172.ec2.internal|10.2.64.46:443,10.2.64.46:34562
svc-mt-lethe|10.3.195.27|80/TCP,443/TCP,34562/TCP|app=lethe-proxy-mt|lethe-proxy-mt-5496c64586-4gs6n|10.2.236.24|ip-10.20.9.44.ec2.internal|10.2.236.24:34562,10.2.236.24:443,10.2.236.24:80
svc-projects-proxy|10.3.206.10|12345/TCP|app=projects-proxy|projects-proxy-67bf648bf8-pdm7s|10.2.68.21|ip-10.20.9.3.ec2.internal|10.2.68.21:12345
test-shard-local-database-service|10.3.58.124|3306/TCP,5432/TCP,6379/TCP|app=test-shard-local-database|test-shard-local-database-64dbd96db6-lj5kn|10.2.152.179|ip-10.20.10.162.ec2.internal|10.2.152.179:6379,10.2.152.179:3306,10.2.152.179:5432
test-shard-local-tidb-service|10.3.115.160|3306/TCP|app=test-shard-local-database|test-shard-local-database-64dbd96db6-lj5kn|10.2.152.179|ip-10.20.10.162.ec2.internal|10.2.152.179:4000
uc-model-registry-service|10.3.251.246|5678/TCP|app=uc-model-registry|uc-model-registry-c6cc85977-4qt87|10.2.191.193|ip-10.20.9.181.ec2.internal|10.2.191.193:5678
ui-service|10.3.49.154|5678/TCP,5679/TCP|app=ui|ui-555774c89b-nwcn9|10.2.12.189|ip-10.20.11.183.ec2.internal|10.2.12.189:5678,10.2.12.189:5679
unity-catalog-external-svc|10.3.176.107|443/TCP|app=managed-catalog|managed-catalog-b5685957-sk28b|10.2.191.189|ip-10.20.9.181.ec2.internal|10.2.191.189:15213
user-activity-service|10.3.111.65|443/TCP|app=user-activity|user-activity-7c96cb868d-9gnkl|10.2.50.107|ip-10.20.9.127.ec2.internal|10.2.50.107:443
webhook-notifications-service|10.3.108.119|5678/TCP|app=webhook-notifications|webhook-notifications-859444dcd7-ndmsq|10.2.191.194|ip-10.20.9.181.ec2.internal|10.2.191.194:5678
workspace-files-gc-service|10.3.33.99|5678/TCP|app=workspace-files-gc|workspace-files-gc-65475f8b68-swphd|10.2.211.129|ip-10.20.11.81.ec2.internal|10.2.211.129:5678
